Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Relatório de Consulta de Valor Total de Estoque,,,,,,,,,
,,,,,,,,,
25/06/2025 14:34:10,,,,,,,,,
Filtros:,,,,,,,,,
Tipo de estoque: Comercial,,,,,,,,,
Rede: LOJA PRINCIPAL,,,,,,,,,
Loja: LJ-03  SANTA CRUZ,,,,,,,,,
Data: 31/05/2025,,,,,,,,,
Setor de Compra: Todos,,,,,,,,,
Tipo de estoque: Venda,,,,,,,,,
Departamento: Todos,,,,,,,,,
Seção: Todos,,,,,,,,,
Grupo: Todos,,,,,,,,,
Subgrupo: Todos,,,,,,,,,
Agrupar por: Produto,,,,,,,,,
Ordem: Ascendente,,,,,,,,,
Status do Produto: Todos,,,,,,,,,
Tipo de Produto: Venda Insumo Embalagem Consumo Subproduto Produto Acabado ,,,,,,,,,
Venda Externa: Todos,,,,,,,,,
Despreza os produtos sem estoque: Sim,,,,,,,,,
Aplicar movimentos extemporâneos: Não,,,,,,,,,
,,,,,,,,,
Produto,Código Interno,GTIN/PLU,Fornecedor,NCM,Quantidade de Estoque,Custo Bruto (R$),Custo Líquido (R$),Custo Total Bruto (R$),Custo Total Líquido (R$)
QJ RALADO VEGETAL SORA ZERO LACTOSE 50G PARMESAO,282344,7898614670343,SORA ALIMENTOS LTDA,2106.90.90,58,4.7638,3.804345,276.3004,220.65201
PIMENTA SIRIA BOMBAY POUCH 30G,265070,7898453413873,BOMBAY ALIMENTOS LTD,2103.90.21,2,8.286171,7.647808,16.572342,15.295616
CAFE LOR CAPSULA ESPRESSO 104G RISTRETTO INT 11,279484,8711000360835,DISPLOKI LTDA - MERCEARIA,0901.21.00,1,31.342242,31.342242,31.342242,31.342242
VINHO BRASILEIRO DON LAURINDO 750ML TINTO ASSEMBLAGE,266369,7898906238558,VINHOS DON LAURINDO,2204.21.00,1,60.2,47.4075,60.2,47.4075
LEITE FAZENDA TIPO A 1L ZERO LACTOSE,275484,7896229800544,LEITE FAZENDA BELA VISTA  - BALCAO/PAS,0401.20.90,14,7.2,7.2,100.8,100.8
CAFE BRAVO MOIDO 250G TENOR,302144,7898204020626,BRAVO CAFE TORREFACA,0901.21.00,16,19.40625,19.40625,310.5,310.5
REQUEIJAO QUALY 200g LIGHT,266886,7891515557461,BRF SADIA | PAS FRIOS,0406.10.90,24,6.972083,6.972083,167.329992,167.329992
CERV EISENBAHN LT 269ML PILSEN,281225,7898367984285,SPAL INDUSTRIA BRASILEIRA DE BEBIDAS - C,2203.00.00,40,2.448924,2.448924,97.95696,97.95696
MINI BALAO AUTO INFLA METALICO,264800,39253,CROMUS - ATUAL (BALAO),9505.90.00,231,2.988,2.263404,690.228,522.846324
SAC SUCO 500ML LARANJA/MAMAO,282144,9640,CEASA (FEIRA LIMPA),2009.89.90,6,13.731173,13.731173,82.387038,82.387038
