0,1,2,3,4,5,6,7,8,9
Relatório de Consulta de Valor Total de Estoque,,,,,,,,,
25/06/2025 14:34:10,,,,,,,,,
Filtros:,,,,,,,,,
Tipo de estoque: Comercial,,,,,,,,,
Rede: LOJA PRINCIPAL,,,,,,,,,
Loja: LJ-03  SANTA CRUZ,,,,,,,,,
Data: 31/05/2025,,,,,,,,,
Setor de Compra: Todos,,,,,,,,,
Tipo de estoque: Venda,,,,,,,,,
Departamento: Todos,,,,,,,,,
Seção: Todos,,,,,,,,,
Grupo: Todos,,,,,,,,,
Subgrupo: Todos,,,,,,,,,
Agrupar por: Produto,,,,,,,,,
Ordem: Ascendente,,,,,,,,,
Status do Produto: Todos,,,,,,,,,
Tipo de Produto: Venda Insumo Embalagem Consumo Subproduto Produto Acabado,,,,,,,,,
Venda Externa: Todos,,,,,,,,,
Despreza os produtos sem estoque: Sim,,,,,,,,,
Aplicar movimentos extemporâneos: Não,,,,,,,,,
Produto,,,Fornecedor,,,,,,
SUCO NATIVE ORGANICO 200ML MARACUJA,50384.0,7898206500706.0,NATIVE - MERCEARIA,,35.0,4.37,4.37,152.95,152.95
AGUA MIN MINALBA 1.5L C/GAS,64913.0,7896065870510.0,MINALBA  - BARRA FUNDA,,520.0,281234.0,281234.0,14624168.0,14624168.0
FN UVA VITORIA 250g DO VALE,57003.0,7899085522186.0,NK LTDA (FRUTA NOBRE),,39.0,3.27,3.27,127.53,127.53
FARINHA AMENDOIM GRANEL KG,49717.0,814.0,CEREAIS GRANEL,,4026.0,17.0,13576107.0,68442.0,54657406782.0
FARINHA MILHO GRANEL KG AMARELA,49720.0,817.0,FTJ DISTRIB GRAOS E FARINACEAOS,,6.67,9.0,8369982.0,60.03,5582777994.0
MANTEIGA PRESIDENT 250G LA MOTTE,65024.0,3228021000084.0,LACTALIS - FRIOS PAS,,11.0,27679836.0,27679836.0,304478196.0,304478196.0
OBENTO PRIMAVERA 400G FRANGO,58064.0,7898901030058.0,PRIMAVERA - NOVO,,4.0,20.72,1848619.0,82.88,7394476.0
FN MELAO AMARELO kg,63169.0,1446.0,CEASA (FRUTA NOBRE),,292822.0,6486165.0,6486165.0,189929180763.0,189929180763.0
ALVEJANTE VANISH 500ML WHITE,65571.0,7891035040405.0,SDB COMERCIO (DIPALMA NOVO),,6.0,14.73,13367475.0,88.38,8020485.0
AMENDOIM CHIANG 150G JAPONES,63224.0,7896053501075.0,CHIANG PRODUTOS ALIMENTICIOS LTDA,,30.0,6155278.0,5689078.0,18465834.0,17067234.0
LEITE FERM YAKULT C/ 6UN 480ML 40,64444.0,7891156002030.0,YAKULT - PAS,,23.0,10.2,10.2,234.6,234.6
OSSO TRASEIRO KG,65263.0,5144.0,LJ-01 - STO. ANDRE - DEFINIDA,,22704743.0,118959.0,118666.0,2700933522537.0,2694281032838.0
LEITE L V NINHO CX 1L INTEGRAL,67267.0,7898215157403.0,BELA VISTA - NESTLE,,20.0,4.99,4.99,99.8,99.8
UT ECHO TESOURA USO GERAL UN,73532.0,4991203146823.0,JIROSAN COM DE IMPORTACAO,,1.0,14.47,13227725.0,14.47,13227725.0
GRANOLA MAE TERRA VEGANO 250G FRUTAS E MEL,69681.0,7896496972104.0,E-UB COMERCIO (MAE TERRA),,1.0,9961028.0,8047943.0,9961028.0,8047943.0
LIMP VEJA M USO 500ML LAVANDA C/ALCOOL,70056.0,7891035210334.0,SDB COMERCIO (DIPALMA NOVO),,15.0,479625.0,4352597.0,7194375.0,65288955.0
ESC DENTAL COLGATE TWISTER  LV2PG1 UN MACIA,73837.0,7891024186244.0,DISPLOKI LTDA - PERFUMARIA/LIMP,,2.0,14792778.0,14792778.0,29585556.0,29585556.0
GOMA TAPIOCA AKIO 500G,75496.0,7896289900581.0,AKIO PRODUTOS ALIMENTICIOS LTD,,27.0,5.9,4711708.0,159.3,127216116.0
GELATINA DR OETKER 12G ZERO MORANGO,73428.0,7891048049006.0,EBD - DR OETKER,,28.0,2256098.0,1801719.0,63170744.0,50448132.0
REFRIG SCHWEPPES 1.5L CITRUS,70772.0,7894900321753.0,SPAL INDUSTRIA BRASILEIRA DE BEBIDAS - C,,19.0,7.11,7.11,135.09,135.09
ALVEJANTE VANISH SACHET REFIL 500ML WHITE,70063.0,7891035040436.0,SDB COMERCIO (DIPALMA NOVO),,4.0,11799225.0,10707797.0,471969.0,42831188.0
LEITE L V LEITISSIMO 1L INTEGRAL,76555.0,7898939247015.0,DELICARI - MERCEARIA,,74.0,8840712.0,8840712.0,654212688.0,654212688.0
UT TRADBRAS POTE SHIKKARI PACK 300ML X 2P,75738.0,4955959116912.0,TRADBRAS S/A IMPORTACAO E EXPORTACAO,,4.0,12476.0,1145295.0,49904.0,458118.0
